ycomURL,company_name,company_tagline,company_description,URL,founded,team_size,location,founder_name_1,founder_linkedin_1,founder_name_2,founder_linkedin_2,founder_name_3,founder_linkedin_3
https://www.ycombinator.com/companies/jitsu,Jitsu,Open-source data integration and event collection platform.,"Jitsu is an open-source data integration and event collection platform. We’re built to process large amounts of data at scale. Capture data using our JavaScript collector or API endpoint (for IOT). Alternately, use our SaaS integrators to pull data from services you already use.  We instantly send your data to RedShift, BigQuery, PostgreSQL, ClickHouse, and Snowflake. ",https://jitsu.com,2019,4,San Francisco,Vladimir Klimontovich,https://www.linkedin.com/in/klimontovich/,Peter Wysinski,https://www.linkedin.com/in/pwysinski/,NA,NA
https://www.ycombinator.com/companies/ukama,Ukama,Empowering anyone to build  cellular network,,http://www.ukama.com,2020,3,"Pleasanton, CA",Kashif Ali,https://www.linkedin.com/in/kashif-ali-8882246/,NA,NA,NA,NA
https://www.ycombinator.com/companies/jet-admin,Jet Admin,No code internal tool builder,,https://jetadmin.io,,8,San Francisco,Denis Kildishev,https://www.linkedin.com/in/denis-kildishev/,NA,NA,NA,NA
https://www.ycombinator.com/companies/prelay,Prelay,Team Selling Platform,"Most revenue teams have difficulty getting the right team members and internal stakeholders involved in a deal at the right time which creates waste of resources, delays deals, and causes deal slippage.

With Prelay's team selling software, coordination and communication is all organized within one purpose-built platform integrated with your other key software instead of spread across multiple disjointed collaboration tools without any centralized tracking, oversight, or learnings. Not only are there fewer headaches for sales reps and their technical counterparts, but sales, presales, and revenue operations leaders have more insight into where and how resources are being used as well as how effective they are at surpassing their goals.

Prelay enables your revenue team and its internal stakeholders to coordinate and communicate effectively so you can drive more revenue faster as a team.

Prelay is also backed by top-tier investors including funds like Y Combinator, SV Angel, Liquid2 Ventures and executives from Box, Dropbox, Palantir, SAP, and Microsoft.",https://prelay.com,2019,10,San Francisco,Enoch Cheung,https://www.linkedin.com/in/enoch-cheung-0/,NA,NA,NA,NA
https://www.ycombinator.com/companies/reach-live,Reach.Live,Host live & demand Tech Talks,"Unlock the power of video content by hosting live & on-demand Tech Talks, Product Demos, Office Hours, Build in Public, and Tech Recruiting Events via Reach.Live

",https://reach.live,2019,5,Mountain View,Akarsh  Sanghi,https://de.linkedin.com/in/akarshsanghi,NA,NA,NA,NA
https://www.ycombinator.com/companies/perfect-recall,Perfect Recall,Share highlight reels from your Zoom calls,"Our product records your Zoom calls, and lets you share highlights with your team members. Teams use us to learn from their sales calls and user onboardings, while keeping everyone on the same page.",https://www.perfectrecall.app,,3,"Sunnyvale, CA",David Gu,https://www.linkedin.com/in/david-gu/,NA,NA,NA,NA
https://www.ycombinator.com/companies/stable,Stable,A virtual address + mailroom for startups.,"📬 Stable is a virtual address & mailroom for startups, and the only solution on the market that guides you through switching your business address compliantly

- 🏢 1 permanent business address for all of your company documents and mail
- 👩‍🏫 Guidance on compliantly switching your address with the IRS, state, banks, payroll, etc
- 📨 Open, view, forward, and shred your mail securely without physically entering a mailroom
- ⚡ Integrations with the tools you love to use (Slack, Dropbox, Drive, etc)
- 💻 Modern platform with encrypted file storage, optical character recognition, and more
",https://useStable.com,2019,3,San Francisco,Sarah Ahmad,https://www.linkedin.com/in/sarah-ahmad-077049b5/,NA,NA,NA,NA
https://www.ycombinator.com/companies/guruhotel,GuruHotel,The Shopify for the hotel industry.,"GuruHotel is Shopify for the hotel industry. Independent hotels use our software to rebuild their hotel website, drive more direct bookings from online travel agencies (OTAs), and generate 30% more revenue. 

We have decades of experience building products and leading companies in the hotel industry, including founding and selling LastRoom, the HotelTonight for LATAM.

That’s where we learned that 73% of people who find a hotel room on Booking.com or Expedia also check the hotel website to see if the price is cheaper.  Independent hotels are missing these opportunities because they haven’t figured out that they should offer extras, discounts, and better user experience in order to drive bookings on their websites to avoid paying 15-25% commissions to OTAs.  We help them automate all of this.

Why now - Shopify did this for e-commerce allowing them to pull their content from Amazon - we will do this for hotels allowing them to gain freedom from Booking and Expedia.",https://guruhotel.com,2019,18,Mountain View,Josue Gio ,https://www.linkedin.com/in/josuegio,Stiven Martinez,https://www.linkedin.com/in/stivenmartinez/,NA,NA
https://www.ycombinator.com/companies/handl,Handl,"Handl converts documents (invoices, income stabs, custom forms, etc.)…","Handl converts documents (invoices, income stabs, custom forms, etc.)  into structured data through simple API. 100% automation implies no need for any supervision/manual work on your side and allows you to reduce costs, improve response time, and operate accurate data. Powered by the merge of ML/AI + humans-in-the-loop to work in real-time even for the most complicated cases",https://handl.ai/,2018,29,San Francisco,Alexei Hahunov,https://www.linkedin.com/in/alexeihahunov/,NA,NA,NA,NA
https://www.ycombinator.com/companies/zynq,Zynq,Office management platform that optimizes your hybrid workplace,"Zynq makes company offices smart with an all-in-one workspace management platform that redefines the relationship between people x space x time.

Companies using Zynq can fully embrace the Hybrid Office, giving employees a quick way to find the best time and space to collaborate, meet with guests, and much more.",https://zynq.io,2019,3,San Francisco,Zerzar Bukhari,https://www.linkedin.com/in/zerzar/,David Cottrell,http://www.linkedin.com/in/david-cottrell-01765a67,NA,NA
